Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-12,8100.43,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.787276974944902,1.719643446856513,-9.412656613601445,18.229542549965668,0.008065344520728601,0.10379641371259829,1,0,Index,1,0.05,0.01,1,0,0.0011893497296948964,1,17.177425787678292,13.205145128931152,-0.06908,0.00908,0,0
2024-03-11,8035.36,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.395635970834842,1.654181741930964,-9.57089814433853,17.819206162316906,0.0038566637515025093,0.10208028392590557,1,0,Index,1,0.05,0.01,1,0,0.001219137785646925,1,16.607120104899614,13.091556832295234,-0.06908,0.00908,0,0
2024-03-08,8004.43,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.180634510689819,1.6042160727837236,-9.455857210594473,17.4999999164918,-0.0026313260077177603,0.10332220318485305,1,0,Index,1,0.05,0.01,1,0,0.0012091381688324678,1,16.22076824325809,12.945898284228244,-0.06908,0.00908,0,0
2024-03-07,8025.52,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.068851916024268,1.55541276061369,-9.299365380754553,17.297112198102788,0.008762951058825408,0.10506093265481799,1,0,Index,1,0.05,0.01,1,0,0.0011860023970762738,1,15.881874818793582,12.946645511377733,-0.06908,0.00908,0,0
2024-03-06,7955.5,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,9.717904223629,1.4417559652125849,-9.516874414004409,16.994764855901245,0.004598578137498421,0.10265975545104501,1,0,Index,1,0.05,0.01,1,0,0.0012244252994544705,1,15.558441808360492,12.766166284808254,-0.06908,0.00908,0,0
2024-03-05,7919,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,9.703257579330302,1.4087202119229902,-9.442394203686398,16.954513768322105,-0.0048373781059556364,0.10346952043355383,1,0,Index,1,0.05,0.01,1,0,0.001220442213295802,1,15.626071969082076,12.631450978121437,-0.06908,0.00908,0,0
2024-03-04,7957.4,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.153466774370434,1.5130386240082443,-9.378509532235302,17.470691153274107,0.0022520123502154377,0.10417433565983045,1,0,Index,1,0.05,0.01,1,0,0.0012063353956845925,1,16.28998902321903,12.827829565571149,-0.06908,0.00908,0,0
2024-03-01,7939.5,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.170508302422729,1.6274186549102323,-9.217654500509841,17.35579565936344,-0.0017793845307902956,0.10599225648411541,1,0,Index,1,0.05,0.01,1,0,0.001188318091146414,1,16.207731841386504,12.718594257552567,-0.06908,0.00908,0,0
2024-02-29,7953.64,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.336716721949758,1.7510265305325659,-9.04751515991436,17.430533277290575,6.389053304332037e-4,0.10798545045038065,1,0,Index,1,0.05,0.01,1,0,0.0011643105316180295,1,16.288642264379444,12.76224653110485,-0.06908,0.00908,0,0
2024-02-28,7948.56,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.334233162319563,1.7974930305666386,-8.86582185367303,17.313141961312613,-0.0013138400778007764,0.11019846959763098,1,0,Index,1,0.05,0.01,1,0,0.001141657883434217,1,16.162038677112307,12.69319792507538,-0.06908,0.00908,0,0
2024-02-27,7959.01,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.28268168793883,1.86133829461167,-8.691315722070764,17.125230964314653,0.004289871505406495,0.11241105849129401,1,0,Index,1,0.05,0.01,1,0,0.0011177171440138215,1,15.876902824857755,12.665148782333333,-0.06908,0.00908,0,0
2024-02-26,7924.94,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.026279104735508,1.8208638636331804,-8.584265108375382,16.750072762018444,-0.005141373616536882,0.11381288761070223,1,0,Index,1,0.05,0.01,1,0,0.0011086962406838693,1,15.379216726778386,12.537571209919022,-0.06908,0.00908,0,0
2024-02-23,7965.79,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,9.900424278580374,1.7753225698077804,-8.506366243091112,16.5660875414155,0.003988717145713139,0.11485515343211578,1,0,Index,1,0.05,0.01,1,0,0.001093001255098578,1,14.884624844219744,12.725521058139423,-0.06908,0.00908,0,0
2024-02-22,7934.08,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,9.30325410812037,1.5823826761479547,-8.386944449577014,15.806619697541691,0.011997450788461705,0.11649057721483703,1,0,Index,1,0.05,0.01,1,0,0.0010819635435673953,1,13.749645244644753,12.594720917924734,-0.06908,0.00908,0,0
2024-02-21,7839.46,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,8.655873161986031,1.4953574830125804,-8.761122042430106,15.174046495690138,0.0050539130808608945,0.11151539668873346,1,0,Index,1,0.05,0.01,1,0,0.001143876183943354,1,12.851239668571612,12.438837824245287,-0.06908,0.00908,0,0
2024-02-20,7799.94,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,8.212202152425355,1.4479894818151562,-8.6850485937392925,14.568132425862542,0.0037686598828088336,0.11249217427571799,1,0,Index,1,0.05,0.01,1,0,0.0011396891848829897,1,12.030586741311653,12.249633968459252,-0.06908,0.00908,0,0
2024-02-19,7770.6,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,7.863824760464356,1.4762260872655324,-8.563488887264048,14.028731080618398,0.002377157228998783,0.11408901358569308,1,0,Index,1,0.05,0.01,1,0,0.001127980575771777,1,11.365770916887755,12.015447550809574,-0.06908,0.00908,0,0
2024-02-16,7752.15,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,7.594881172345698,1.5576731589136195,-8.408814468508561,13.552078884591733,-0.0031940062313289275,0.11618760333682171,1,0,Index,1,0.05,0.01,1,0,0.0011102429884239742,1,10.798434716877829,11.788363424108393,-0.06908,0.00908,0,0
2024-02-15,7776.95,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,7.372832440023716,1.6434123890206462,-8.270281606647156,13.14387786217821,0.010047803119620724,0.11813382499753647,1,0,Index,1,0.05,0.01,1,0,0.0010884699086317424,1,10.204170514136663,11.702292589493688,-0.06908,0.00908,0,0
2024-02-14,7699.2,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.687597068699663,1.696140258499455,-8.451506167629159,12.294479046164403,0.013133983284161488,0.11560069656484327,1,0,Index,1,0.05,0.01,1,0,0.0011235539934640168,1,9.146222760895524,11.344575649378482,-0.06908,0.00908,0,0
2024-02-13,7598.74,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.321518220045624,1.8028828064909936,-8.973226224938358,12.013862669284514,-0.010874054177111958,0.10887945712153393,1,0,Index,1,0.05,0.01,1,0,0.0012086831517092844,1,9.14182038760529,10.881284061202235,-0.06908,0.00908,0,0
2024-02-12,7681.82,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,7.030866195708177,1.7912841839653946,-9.365402801903842,13.161547569913461,9.728989180519676e-4,0.10432012596419139,1,0,Index,1,0.05,0.01,1,0,0.0012478654792493725,1,10.668429485494666,11.267483131027772,-0.06908,0.00908,0,0
2024-02-09,7674.35,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.763756062135624,1.9333954012353716,-9.184774837533825,12.644031134330056,0.0041326554454581554,0.1063716876332628,1,0,Index,1,0.05,0.01,1,0,0.0012249894501327443,1,10.224537268846403,10.848847955037026,-0.06908,0.00908,0,0
2024-02-08,7642.7,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.43434008746898,2.04336505170495,-9.083429323524403,12.099152252535033,0.002098317793901572,0.10755849637864749,1,0,Index,1,0.05,0.01,1,0,0.0012164897813493306,1,9.771907351279333,10.39334640294572,-0.06908,0.00908,0,0
2024-02-07,7626.68,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.402735911327806,2.2508736642634966,-8.921199061929034,11.87214391393651,-0.0030804723483583984,0.10951442661663272,1,0,Index,1,0.05,0.01,1,0,0.0011972728702626912,1,9.619847709182752,10.167058814044767,-0.06908,0.00908,0,0
2024-02-06,7650.21,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.533586491034571,2.5055370127708594,-8.782046988195637,11.84970364242515,0.006265165412605356,0.11124968943040633,1,0,Index,1,0.05,0.01,1,0,0.0011749728619708923,1,9.680311261076291,10.069194809632295,-0.06908,0.00908,0,0
2024-02-05,7602.43,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.307702684340182,2.687103929523039,-8.766615993487513,11.450026277769146,-9.466174256012039e-4,0.11144551109867107,1,0,Index,1,0.05,0.01,1,0,0.0011802798415278975,1,9.398507486733777,9.684869642881466,-0.06908,0.00908,0,0
2024-02-02,7609.63,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.602338521394616,2.915534336998534,-8.591724577598105,11.64121314882594,-0.0018813692933594695,0.11371407348734276,1,0,Index,1,0.05,0.01,1,0,0.0011556391390403025,1,9.658940037283918,9.743081877425984,-0.06908,0.00908,0,0
2024-02-01,7623.96,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.827856882998139,3.06081714486351,-8.428563054362472,11.787682132080333,-7.473636114330162e-4,0.11591536940502833,1,0,Index,1,0.05,0.01,1,0,0.0011315620332450578,1,9.881873555509609,9.764263331290948,-0.06908,0.00908,0,0
2024-01-31,7629.66,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.888330841694937,3.174567586287629,-8.255939857388888,11.725127257810545,-0.007089153082862509,0.1183390403608144,1,0,Index,1,0.05,0.01,1,0,0.001107558748496409,1,9.884905714591849,9.656973048425726,-0.06908,0.00908,0,0
2024-01-30,7683.94,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.855767028933428,3.2956146199877856,-8.252050533725981,11.61924066211367,0.001905785996846987,0.11839481544702357,1,0,Index,1,0.05,0.01,1,0,0.0010992167816326422,1,9.88506858965161,9.480332513871174,-0.06908,0.00908,0,0
2024-01-29,7669.31,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,5.966771941032127,3.43790466296166,-8.091462762092041,10.28247497094136,0.004672334671509404,0.1207445462861399,1,0,Index,1,0.05,0.01,1,0,0.0010798817045962698,1,8.492936418591661,8.644521866310606,-0.06908,0.00908,0,0
2024-01-26,7633.56,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,4.843583324535279,3.897926199575669,-7.9879127350366925,8.503104367110884,0.014356728282665543,0.12230979886831626,1,0,Index,1,0.05,0.01,1,0,0.00107105463383826,1,6.631609785305448,7.540230826546027,-0.06908,0.00908,0,0
2024-01-25,7524.75,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,3.302446623763097,4.379400395876089,-8.504259199513873,6.465691566836355,0.011195026890961302,0.11488361032738136,1,0,Index,1,0.05,0.01,1,0,0.0011567775436268602,1,4.719984139796976,6.0561684715969495,-0.06908,0.00908,0,0
2024-01-24,7440.98,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,2.1684767092669617,4.831315653094788,-8.825367811993935,4.888328358472189,0.005461751428700978,0.1107036013470428,1,0,Index,1,0.05,0.01,1,0,0.0012139704443947686,1,3.3707414874398465,4.776472443347137,-0.06908,0.00908,0,0
2024-01-23,7400.45,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,1.9551535835477634,5.336264201227076,-8.770666488221723,4.324072588227675,-0.0014002852820116374,0.11139404300825143,1,0,Index,1,0.05,0.01,1,0,0.0012130533582274444,1,2.814672961482628,4.392114685563497,-0.06908,0.00908,0,0
2024-01-22,7410.82,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,2.1793020084037447,5.686309808723487,-8.599165077918238,4.362163645802369,1.0930561929356486e-4,0.11361568142340171,1,0,Index,1,0.05,0.01,1,0,0.0011876691003326438,1,2.838409850776928,4.431862892227021,-0.06908,0.00908,0,0
2024-01-19,7410.01,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,2.269222746018533,6.084197239859294,-8.421735769962837,4.194399593076482,-0.002480049686015562,0.11600933901115627,1,0,Index,1,0.05,0.01,1,0,0.0011632906933164212,1,2.6603539477773728,4.33031204068343,-0.06908,0.00908,0,0
2024-01-18,7428.41,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,2.3108716930432234,6.525865062785982,-8.267568458582657,3.952013955289302,0.015618597610028928,0.11817259269087335,1,0,Index,1,0.05,0.01,1,0,0.0011391669329533945,1,2.424873035909429,4.161816889572741,-0.06908,0.00908,0,0
2024-01-17,7313.29,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,1.6658097452996297,6.913552757600727,-9.054436251441615,3.29152140731995,-0.008677877676936063,0.10790290779775996,1,0,Index,1,0.05,0.01,1,0,0.0012672259462949706,1,1.8827912458219451,3.603077766377972,-0.06908,0.00908,0,0
2024-01-16,7377.03,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,2.834923645028667,7.22331448379966,-9.232602150935227,4.784542026939339,-0.005434553528207431,0.10582065424545925,1,0,Index,1,0.05,0.01,1,0,0.0012809966916901105,1,3.5672490535525356,4.40698765801303,-0.06908,0.00908,0,0
2024-01-15,7417.23,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,3.739858257114431,7.516904027475072,-9.192797777351542,5.82442455109081,-0.007174999396346138,0.10627885260426942,1,0,Index,1,0.05,0.01,1,0,0.0012685611202710482,1,4.583547671041849,5.123826580776169,-0.06908,0.00908,0,0
2024-01-12,7470.64,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,4.372287052879905,7.768267224225993,-9.263694212092357,6.577429564439723,0.004408254290288127,0.10546548467939211,1,0,Index,1,0.05,0.01,1,0,0.0012692051869673234,1,5.242339337600613,5.720043269798926,-0.06908,0.00908,0,0
2024-01-11,7437.78,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,4.203720492216227,7.901363627412386,-9.173980014246991,6.241268849705604,-5.17493648729328e-4,0.10649685289075626,1,0,Index,1,0.05,0.01,1,0,0.0012624666012586707,1,4.862842911539959,5.539271837969382,-0.06908,0.00908,0,0
2024-01-10,7441.63,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,4.561720773323232,8.132347977317458,-8.990078142562366,6.51115944705343,0.0022547347526877815,0.10867536238361704,1,0,Index,1,0.05,0.01,1,0,0.0012365191024650978,1,4.977745608480798,5.874186803274919,-0.06908,0.00908,0,0
2024-01-09,7424.87,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,4.875798559689331,8.314696221774673,-8.829073813642554,6.758253542186382,-0.007845376571184559,0.11065713353651592,1,0,Index,1,0.05,0.01,1,0,0.0012171153223755327,1,5.10102313126572,6.16273277237825,-0.06908,0.00908,0,0
2024-01-08,7483.35,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,5.5339890352773695,8.466999391711981,-8.914130064586343,7.602217383473674,0.009131073706551973,0.10960127268967969,1,0,Index,1,0.05,0.01,1,0,0.001219237593104778,1,5.803008846213561,6.867353459575897,-0.06908,0.00908,0,0
2024-01-05,7415.33,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,5.370488501092842,8.593933200228168,-9.113525962383026,7.420447715867885,-0.0017394741635889943,0.10720329365743439,1,0,Index,1,0.05,0.01,1,0,0.0012579442330144725,1,5.585440687931825,6.781972171847985,-0.06908,0.00908,0,0
2024-01-04,7428.24,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,6.373080306679357,8.76055801952059,-8.942761454484444,8.588542126387736,0.002345159939116215,0.10925037025448921,1,0,Index,1,0.05,0.01,1,0,0.0012322282339814854,1,6.45911848588449,7.855118391428405,-0.06908,0.00908,0,0
2024-01-03,7410.84,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,7.389366429430092,8.818316822634326,-8.78355973555415,9.835110029033368,-0.014127541508660357,0.11123052946805757,1,0,Index,1,0.05,0.01,1,0,0.00121313339621532,1,7.549784583162726,8.842065465226218,-0.06908,0.00908,0,0
2024-01-02,7516.28,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,9.11915934432983,8.983857037736584,-9.574106227021293,12.454003720415463,-0.006176768562017543,0.10204607895853328,1,0,Index,1,0.05,0.01,1,0,0.0013037692319721604,1,10.564745065718697,10.191927801640407,-0.06908,0.00908,0,0
2023-12-29,7562.85,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,9.863442067966918,9.24733998803518,-9.604339045315108,13.329755619262523,0.0033907092703682196,0.1017248553378142,1,0,Index,1,0.05,0.01,1,0,0.001299832622049282,1,11.593909933695508,10.622349431742029,-0.06908,0.00908,0,0
2023-12-28,7537.25,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.05082200406193,9.440123146337971,-9.479817169498281,13.420943016996063,-0.006200512148625492,0.10306105935708754,1,0,Index,1,0.05,0.01,1,0,0.0012873376687662173,1,11.796124560253876,10.57211380140623,-0.06908,0.00908,0,0
2023-12-27,7584.13,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.64709146877644,9.669292535103688,-9.507630759713079,14.115291070673281,0.0015346422367663592,0.10275956488969538,1,0,Index,1,0.05,0.01,1,0,0.0012831338870063803,1,12.741143971566343,10.78434114622246,-0.06908,0.00908,0,0
2023-12-22,7572.5,mx,0,0,0,0,0,0,0.05,0,0,0,0,0,10.68088889095225,9.899381438326058,-9.334817605347965,13.958903271447287,-0.0026007748399656805,0.1046619271318458,1,0,Index,1,0.05,0.01,1,0,0.0012617461577116148,1,12.69486197396416,10.569976811781318,-0.06908,0.00908,0,0
