Date,Date,Inventory Change,Spread Change
1Q 2006,2006,49.29,3.03
2Q 2006,2006,39.48,-0.16
3Q 2006,2006,135.31,5.4
4Q 2006,2006,80.31,2.93
1Q 2007,2007,-2.94,0.89
2Q 2007,2007,-3.7,-0.54
3Q 2007,2007,-129.83,-11.99
4Q 2007,2007,-113.19,-11.4
1Q 2008,2008,-34.77,-8.84
2Q 2008,2008,-67.35,-0.85
3Q 2008,2008,-2.9,8.56
4Q 2008,2008,112.01,20.35
1Q 2009,2009,169.19,15.65
2Q 2009,2009,152.23,4.38
3Q 2009,2009,120.7,2.24
4Q 2009,2009,-37.73,-9.83
1Q 2010,2010,-67.73,-8.79
2Q 2010,2010,-3.26,-1.25
3Q 2010,2010,-34,0.89
4Q 2010,2010,14.26,-2.03
1Q 2011,2011,-36.13,-1.32
2Q 2011,2011,-78.3,0.75
3Q 2011,2011,-84.54,-3.15
4Q 2011,2011,-80.18,-4.09
1Q 2012,2012,3.21,1.1
2Q 2012,2012,-4.4,-1
3Q 2012,2012,57.01,-0.99
4Q 2012,2012,55.63,2.41
1Q 2013,2013,2.57,-5.12
2Q 2013,2013,-32.62,-10.05
3Q 2013,2013,-39.55,-10.13
4Q 2013,2013,-95.19,-7.85
1Q 2014,2014,-73.93,-6.3
2Q 2014,2014,1.97,-2.05
3Q 2014,2014,35.69,4.7
4Q 2014,2014,144.65,13.18
1Q 2015,2015,208.81,18.82
2Q 2015,2015,225.6,10.87
3Q 2015,2015,230.51,8.9
4Q 2015,2015,282.73,0.47
1Q 2016,2016,251.55,-3.57
2Q 2016,2016,203.66,1.46
3Q 2016,2016,136.72,-0.96
4Q 2016,2016,22.42,-3.9
1Q 2017,2017,7.71,-4.29
2Q 2017,2017,-48.15,-1.81
3Q 2017,2017,-109.65,-3.96
4Q 2017,2017,-145.76,-5.94
1Q 2018,2018,-227.71,-6.34
2Q 2018,2018,-214.55,-10.73
3Q 2018,2018,-108.17,-2.78
4Q 2018,2018,10.91,5.76
1Q 2019,2019,54.56,4.06
2Q 2019,2019,115.94,6.08
3Q 2019,2019,72.13,-0.51
4Q 2019,2019,16.52,-8.12
1Q 2020,2020,112.08,15.86
2Q 2020,2020,289.37,3.57
3Q 2020,2020,244.21,6.01
4Q 2020,2020,151.61,4
1Q 2021,2021,-54.14,-18.89
2Q 2021,2021,-332.63,-8.55
3Q 2021,2021,-416.35,-9.02
4Q 2021,2021,-386.63,-4.9
1Q 2022,2022,-310.03,-10.38
2Q 2022,2022,-223.41,-11.51
3Q 2022,2022,-4.35,-2.6
