LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
KOR,QGDP,TOT,PC_CHGPP,Q,1960-Q2,4.496005439,
KOR,QGDP,TOT,PC_CHGPP,Q,1960-Q3,-1.111562966,
KOR,QGDP,TOT,PC_CHGPP,Q,1960-Q4,0.596298835,
KOR,QGDP,TOT,PC_CHGPP,Q,1961-Q1,3.20092662,
KOR,QGDP,TOT,PC_CHGPP,Q,1961-Q2,4.316423271,
KOR,QGDP,TOT,PC_CHGPP,Q,1961-Q3,-1.825247143,
KOR,QGDP,TOT,PC_CHGPP,Q,1961-Q4,1.297043617,
KOR,QGDP,TOT,PC_CHGPP,Q,1962-Q1,1.991930454,
KOR,QGDP,TOT,PC_CHGPP,Q,1962-Q2,-1.868167524,
KOR,QGDP,TOT,PC_CHGPP,Q,1962-Q3,2.927449609,
KOR,QGDP,TOT,PC_CHGPP,Q,1962-Q4,2.880017792,
KOR,QGDP,TOT,PC_CHGPP,Q,1963-Q1,5.859393765,
KOR,QGDP,TOT,PC_CHGPP,Q,1963-Q2,-2.358560133,
KOR,QGDP,TOT,PC_CHGPP,Q,1963-Q3,3.295069015,
KOR,QGDP,TOT,PC_CHGPP,Q,1963-Q4,0.093359129,
KOR,QGDP,TOT,PC_CHGPP,Q,1964-Q1,5.970535022,
KOR,QGDP,TOT,PC_CHGPP,Q,1964-Q2,-2.874867444,
KOR,QGDP,TOT,PC_CHGPP,Q,1964-Q3,6.805402395,
KOR,QGDP,TOT,PC_CHGPP,Q,1964-Q4,4.019545705,
KOR,QGDP,TOT,PC_CHGPP,Q,1965-Q1,1.278573815,
KOR,QGDP,TOT,PC_CHGPP,Q,1965-Q2,0.226092863,
KOR,QGDP,TOT,PC_CHGPP,Q,1965-Q3,-0.790992177,
KOR,QGDP,TOT,PC_CHGPP,Q,1965-Q4,2.332367206,
KOR,QGDP,TOT,PC_CHGPP,Q,1966-Q1,6.129066097,
KOR,QGDP,TOT,PC_CHGPP,Q,1966-Q2,6.193839408,
KOR,QGDP,TOT,PC_CHGPP,Q,1966-Q3,-1.728704276,
KOR,QGDP,TOT,PC_CHGPP,Q,1966-Q4,1.331174981,
KOR,QGDP,TOT,PC_CHGPP,Q,1967-Q1,3.370041807,
KOR,QGDP,TOT,PC_CHGPP,Q,1967-Q2,2.087957254,
KOR,QGDP,TOT,PC_CHGPP,Q,1967-Q3,4.139624768,
KOR,QGDP,TOT,PC_CHGPP,Q,1967-Q4,0.660321191,
KOR,QGDP,TOT,PC_CHGPP,Q,1968-Q1,6.363252295,
KOR,QGDP,TOT,PC_CHGPP,Q,1968-Q2,1.471809575,
KOR,QGDP,TOT,PC_CHGPP,Q,1968-Q3,5.132128648,
