Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/26/2024,5084.65,5114.62,5073.14,5099.96,51.54,+1.02%,2401044210,0
04/25/2024,5019.88,5057.75,4990.58,5048.42,-23.21,-0.46%,2691433796,0
04/24/2024,5084.86,5089.48,5047.02,5071.63,1.08,+0.02%,2523336454,0
04/23/2024,5028.85,5076.12,5027.96,5070.55,59.95,+1.20%,2311653512,0
04/22/2024,4987.33,5038.84,4969.4,5010.6,43.37,+0.87%,2348891195,0
04/19/2024,5005.44,5019.02,4953.56,4967.23,-43.89,-0.88%,2733302804,0
04/18/2024,5031.52,5056.66,5001.89,5011.12,-11.09,-0.22%,2206949033,0
04/17/2024,5068.97,5077.96,5007.25,5022.21,-29.2,-0.58%,2289242657,0
04/16/2024,5064.59,5079.84,5039.83,5051.41,-10.41,-0.21%,2334071918,0
04/15/2024,5149.67,5168.43,5052.47,5061.82,-61.59,-1.20%,2305701976,0
04/12/2024,5171.51,5175.03,5107.94,5123.41,-75.65,-1.46%,2409339978,0
04/11/2024,5172.95,5211.78,5138.77,5199.06,38.42,+0.74%,2204862038,0
04/10/2024,5167.88,5178.43,5138.7,5160.64,-49.27,-0.95%,2288234836,0
04/09/2024,5217.03,5224.81,5160.78,5209.91,7.52,+0.14%,2025386254,0
04/08/2024,5211.37,5219.57,5197.35,5202.39,-1.95,-0.04%,2006989877,0
04/05/2024,5158.95,5222.18,5157.21,5204.34,57.13,+1.11%,2201731585,0
04/04/2024,5244.05,5256.59,5146.06,5147.21,-64.28,-1.23%,2533977104,0
04/03/2024,5194.37,5228.75,5194.37,5211.49,5.68,+0.11%,2291919524,0
04/02/2024,5204.29,5208.34,5184.05,5205.81,-37.96,-0.72%,2404999435,0
04/01/2024,5257.97,5263.95,5229.2,5243.77,-10.58,-0.20%,1992072382,0
03/28/2024,5248.03,5264.85,5245.82,5254.35,5.86,+0.11%,2400060516,0
03/27/2024,5226.31,5249.26,5213.92,5248.49,44.91,+0.86%,2275362496,0
03/26/2024,5228.85,5235.16,5203.42,5203.58,-14.61,-0.28%,2254197442,0
03/25/2024,5219.52,5229.09,5216.09,5218.19,-15.99,-0.31%,2083558443,0
03/22/2024,5242.48,5246.09,5229.87,5234.18,-7.35,-0.14%,2009116285,0
03/21/2024,5253.43,5261.1,5240.66,5241.53,16.91,+0.32%,2513703086,0
03/20/2024,5181.69,5226.19,5171.55,5224.62,46.11,+0.89%,2293911189,0
03/19/2024,5139.09,5180.31,5131.59,5178.51,29.09,+0.56%,2206625058,0
03/18/2024,5154.77,5175.6,5145.47,5149.42,32.33,+0.63%,2395481603,0
03/15/2024,5123.31,5136.86,5104.35,5117.09,-33.39,-0.65%,5156067746,0
03/14/2024,5175.14,5176.85,5123.3,5150.48,-14.83,-0.29%,2653395897,0
03/13/2024,5173.49,5179.14,5151.88,5165.31,-9.96,-0.19%,2415913063,0
03/12/2024,5134.3,5179.87,5114.48,5175.27,57.33,+1.12%,2294319101,0
03/11/2024,5111.96,5124.66,5091.14,5117.94,-5.75,-0.11%,2207490802,0
03/08/2024,5164.46,5189.26,5117.5,5123.69,-33.67,-0.65%,2430070760,0
03/07/2024,5132.38,5165.62,5128.21,5157.36,52.6,+1.03%,2359269056,0
03/06/2024,5108.03,5127.97,5092.22,5104.76,26.11,+0.51%,2604927497,0
03/05/2024,5110.52,5114.54,5056.82,5078.65,-52.3,-1.02%,2704129642,0
03/04/2024,5130.99,5149.67,5127.18,5130.95,-6.13,-0.12%,2818870452,0
03/01/2024,5098.51,5140.33,5094.16,5137.08,40.81,+0.80%,2453221439,0
02/29/2024,5085.36,5104.99,5061.89,5096.27,26.51,+0.52%,3310290023,0
02/28/2024,5067.2,5077.37,5058.35,5069.76,-8.42,-0.17%,2079030384,0
02/27/2024,5074.6,5080.69,5057.29,5078.18,8.65,+0.17%,2149213570,0
02/26/2024,5093,5097.66,5068.91,5069.53,-19.27,-0.38%,2248390032,0
02/23/2024,5100.92,5111.06,5081.46,5088.8,1.77,+0.03%,2256863196,0
02/22/2024,5038.83,5094.39,5038.83,5087.03,105.23,+2.11%,2575496447,0
02/21/2024,4963.03,4983.21,4946,4981.8,6.29,+0.13%,2254957644,0
02/20/2024,4989.32,4993.71,4955.02,4975.51,-30.06,-0.60%,2454586525,0
02/16/2024,5031.13,5038.7,4999.52,5005.57,-24.16,-0.48%,2298707861,0
02/15/2024,5003.14,5032.72,4999.44,5029.73,29.11,+0.58%,2424880973,0
02/14/2024,4976.44,5002.52,4956.45,5000.62,47.45,+0.96%,2325126439,0
02/13/2024,4967.94,4971.3,4920.31,4953.17,-68.67,-1.37%,2581714918,0
02/12/2024,5026.83,5048.39,5016.83,5021.84,-4.77,-0.09%,2230537686,0
02/09/2024,5004.17,5030.06,5000.34,5026.61,28.7,+0.57%,2305688993,0
02/08/2024,4995.16,5000.4,4987.09,4997.91,2.85,+0.06%,2436611938,0
02/07/2024,4973.05,4999.89,4969.05,4995.06,40.83,+0.82%,2591206982,0
02/06/2024,4950.16,4957.77,4934.88,4954.23,11.42,+0.23%,2477503347,0
02/05/2024,4957.19,4957.19,4918.09,4942.81,-15.8,-0.32%,2584805952,0
02/02/2024,4916.06,4975.29,4907.99,4958.61,52.42,+1.07%,2791773912,0
02/01/2024,4861.11,4906.97,4853.52,4906.19,60.54,+1.25%,2808069454,0
01/31/2024,4899.19,4906.75,4845.15,4845.65,-79.32,-1.61%,3297263902,0
01/30/2024,4925.89,4931.09,4916.27,4924.97,-2.96,-0.06%,2579106428,0
01/29/2024,4892.95,4929.31,4887.4,4927.93,36.96,+0.76%,2312494392,0
01/26/2024,4888.91,4906.69,4881.47,4890.97,-3.19,-0.07%,2388032275,0
01/25/2024,4886.66,4898.15,4869.34,4894.16,25.61,+0.53%,2903392182,0
01/24/2024,4888.56,4903.68,4865.94,4868.55,3.95,+0.08%,2675171919,0
01/23/2024,4856.8,4866.48,4844.37,4864.6,14.17,+0.29%,2388786865,0
01/22/2024,4853.42,4868.41,4844.05,4850.43,10.62,+0.22%,2633780446,0
01/19/2024,4796.28,4842.07,4785.87,4839.81,58.87,+1.23%,2758405262,0
01/18/2024,4760.1,4785.79,4740.57,4780.94,41.73,+0.88%,2591426040,0
01/17/2024,4739.13,4744.23,4714.82,4739.21,-26.77,-0.56%,2320340664,0
01/16/2024,4772.35,4782.34,4747.12,4765.98,-17.85,-0.37%,2600196183,0
01/12/2024,4791.18,4802.4,4768.98,4783.83,3.59,+0.08%,2236217742,0
01/11/2024,4792.13,4798.5,4739.58,4780.24,-3.21,-0.07%,2320939953,0
